id,type,app,module,message,DES.src,DES.dst,TOPO.src,TOPO.dst,module.src,service,time_in,time_out,time_emit,time_reception
15,COMP_M,7,7_35,7_(31-35),58,70,38,1,7_31,32.40020366598778,729.9265829495796,762.3267866155674,719.9264099021794,729.9265829495796
18,COMP_M,3,3_14,3_(13-14),28,29,12,37,3_13,90.38841567291311,748.8026410375272,839.1910567104403,741.802530915394,748.8026410375272
23,COMP_M,7,7_29,M.USER.APP.7,11,64,30,1,None,60.74541751527495,758.00005801244,818.745475527715,755.0,758.00005801244
22,COMP_M,4,4_19,M.USER.APP.4,6,34,46,19,None,51.423558897243105,759.0000454646,810.4236043618431,755.0,759.0000454646
24,COMP_M,2,2_10,M.USER.APP.2,2,25,6,25,None,48.92190669371197,779.0001959813867,827.9221026750987,765.0,779.0001959813867
15,COMP_M,7,7_34,7_(32-34),67,69,8,8,7_32,40.49789029535865,801.5143647764223,842.0122550717809,801.5143647764223,801.5143647764223
13,COMP_M,7,7_32,7_(31-32),58,67,38,8,7_31,77.58790436005626,805.9232136631192,883.5111180231754,801.9231631489326,805.9232136631192
22,COMP_M,4,4_21,4_(19-21),34,36,19,19,4_19,70.28070175438596,810.4236043618431,880.7043061162291,810.4236043618431,810.4236043618431
13,COMP_M,7,7_35,7_(31-35),58,62,38,48,7_31,37.0395809080326,811.9233361963328,848.9629171043654,801.9231631489326,811.9233361963328
22,COMP_M,4,4_22,4_(19-22),34,41,19,36,4_19,82.699173553719,815.4236533669897,898.1228269207087,810.4236043618431,815.4236533669897
22,COMP_M,4,4_20,4_(19-20),34,39,19,4,4_19,51.729166666666664,817.4236584278163,869.152825094483,810.4236043618431,817.4236584278163
25,COMP_M,4,4_19,M.USER.APP.4,7,46,31,22,None,54.641810918774965,822.0000909292,876.641901847975,814.0,822.0000909292
23,COMP_M,7,7_30,7_(29-30),64,57,1,4,7_29,43.18402777777778,824.7455745326484,867.9296023104263,818.745475527715,824.7455745326484
26,COMP_M,9,9_41,M.USER.APP.9,13,81,32,23,None,52.68970588235294,833.0000469348267,885.6897528171796,826.0,833.0000469348267
24,COMP_M,2,2_11,2_(10-11),25,26,25,37,2_10,58.40034071550256,837.9221960968587,896.3225368123612,827.9221026750987,837.9221960968587
18,COMP_M,3,3_15,3_(14-15),29,30,37,18,3_14,32.75985663082437,844.1910971562804,876.9509537871048,839.1910567104403,844.1910971562804
18,COMP_M,3,3_16,3_(14-16),29,31,37,18,3_14,52.333333333333336,847.1911254677204,899.5244588010538,839.1910567104403,847.1911254677204
15,COMP_M,7,7_36,7_(34-36),69,63,8,3,7_34,85.65732087227414,850.0123324718076,935.6696533440817,842.0122550717809,850.0123324718076
23,COMP_M,7,7_31,7_(30-31),57,58,4,38,7_30,81.99675324675324,871.9296566554262,953.9264099021794,867.9296023104263,871.9296566554262
23,COMP_M,7,7_33,7_(30-33),57,60,4,1,7_30,30.727087576374746,873.9297059040797,904.6567934804544,867.9296023104263,873.9297059040797
25,COMP_M,4,4_20,4_(19-20),46,43,22,22,4_19,59.51264980026631,876.641901847975,936.1545516482413,876.641901847975,876.641901847975
25,COMP_M,4,4_22,4_(19-22),46,45,22,22,4_19,66.62183754993342,876.641901847975,943.2637393979084,876.641901847975,876.641901847975
13,COMP_M,7,7_34,7_(32-34),67,69,8,8,7_32,40.49789029535865,883.5111180231754,924.009008318534,883.5111180231754,883.5111180231754
26,COMP_M,9,9_42,9_(41-42),81,77,23,23,9_41,62.15147058823529,885.6897528171796,947.8412234054149,885.6897528171796,885.6897528171796
26,COMP_M,9,9_43,9_(41-43),81,78,23,23,9_41,73.28529411764706,885.6897528171796,958.9750469348267,885.6897528171796,885.6897528171796
26,COMP_M,9,9_44,9_(41-44),81,84,23,23,9_41,50.72352941176471,885.6897528171796,936.4132822289444,885.6897528171796,885.6897528171796
26,COMP_M,9,9_45,9_(41-45),81,80,23,23,9_41,87.16176470588235,885.6897528171796,972.851517523062,885.6897528171796,885.6897528171796
25,COMP_M,4,4_21,4_(19-21),46,36,22,19,4_19,70.28070175438596,888.6420262062151,958.922727960601,876.641901847975,888.6420262062151
27,COMP_M,0,0_0,M.USER.APP.0,0,15,22,12,None,102.91417165668663,891.0000823349333,993.91425399162,883.0,891.0000823349333
24,COMP_M,2,2_12,2_(11-12),26,27,37,37,2_11,99.79216354344122,896.3225368123612,996.1147003558025,896.3225368123612,896.3225368123612
18,COMP_M,3,3_17,3_(16-17),31,32,18,18,3_16,32.99880525686977,899.5244588010538,932.5232640579236,899.5244588010538,899.5244588010538
